,Unnamed: 0,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE_RANGE,DAYS_EMPLOYED_RANGE,DAYS_REGISTRATION_RANGE,DAYS_ID_PUBLISH_RANGE,DAYS_LAST_PHONE_CHANGE_RANGE,AGE_RANGE_D,TARGET_D
152,152,100179,0.0,Cash loans,F,Y,N,0,202500.0,675000.0,53329.5,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.031329,4.0,1,1,0,1,0,0,Managers,2.0,2,2,MONDAY,13,0,0,0,0,0,0,Trade: type 7,0.6748315126672113,0.6161564242321512,0.6738300778602003,0.5845,0.457,0.9945,0.9252,0.3468,0.6,0.2414,0.9167,0.5,0.2847,0.4287,0.7187,0.2201,0.7729,0.5956,0.4742,0.9945,0.9281,0.35,0.6042,0.2414,0.9167,0.5,0.2912,0.4683,0.7488,0.2218,0.8183,0.5902,0.457,0.9945,0.9262,0.349,0.6,0.2414,0.9167,0.5,0.2896,0.4361,0.7317,0.2213,0.7892,reg oper account,block of flats,0.7334,Monolithic,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0,2,3,1,3,3,entre 27-40 ans,credit non remboursé
153,153,100180,0.0,Cash loans,F,N,Y,1,315000.0,1288350.0,37800.0,1125000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.020713,9.0,1,1,0,1,0,0,Accountants,3.0,3,2,FRIDAY,15,0,0,0,0,1,1,Transport: type 4,0.7290899091709767,0.5098519541101603,0.6754132910917112,0.0907,0.1072,0.9811,0.7416,0.0189,0.0,0.2069,0.1667,0.2083,0.2668,0.074,0.0839,0.0,0.0,0.0924,0.1113,0.9811,0.7517,0.019,0.0,0.2069,0.1667,0.2083,0.2729,0.0808,0.0874,0.0,0.0,0.0916,0.1072,0.9811,0.7451,0.019,0.0,0.2069,0.1667,0.2083,0.2715,0.0752,0.0854,0.0,0.0,reg oper account,block of flats,0.0763,Panel,No,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,3.0,3,4,5,4,2,entre 40-50 ans,credit non remboursé
154,154,100181,1.0,Cash loans,F,N,Y,0,157500.0,245619.0,12667.5,166500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625,9.0,1,1,0,1,1,0,Private service staff,1.0,2,2,TUESDAY,9,0,0,0,0,0,0,Business Entity Type 3,0.5061548086628039,0.182171374180396,0.4436153084085652,0.066,0.0765,0.9757,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.046,0.0756,0.0519,0.0,0.0036,0.0672,0.0749,0.9757,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0471,0.0771,0.0541,0.0,0.0011,0.0666,0.0761,0.9757,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0468,0.077,0.0529,0.0,0.0031,reg oper account,block of flats,0.0552,Block,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,3,5,2,2,1,entre 40-50 ans,credit remboursé
155,155,100182,0.0,Revolving loans,F,N,Y,1,112500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.020246,9.0,1,1,0,1,0,0,Core staff,2.0,3,3,THURSDAY,8,0,0,0,0,0,0,Government,0.4643561769338667,0.7518692268821991,0.4206109640437848,0.067,0.0806,0.9747,0.6532,0.0086,0.0,0.1379,0.1667,0.2083,0.0547,0.0538,0.0332,0.0039,0.1078,0.0683,0.0836,0.9747,0.6668,0.0087,0.0,0.1379,0.1667,0.2083,0.056,0.0588,0.0346,0.0039,0.1141,0.0677,0.0806,0.9747,0.6578,0.0086,0.0,0.1379,0.1667,0.2083,0.0557,0.0547,0.0338,0.0039,0.1101,reg oper account,block of flats,0.0496,"Stone, brick",No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2,4,5,4,3,entre 27-40 ans,credit non remboursé
156,156,100183,0.0,Cash loans,F,N,Y,0,103500.0,239850.0,23494.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.018634,9.0,1,0,0,1,1,0,Laborers,1.0,2,2,THURSDAY,12,0,0,0,0,0,0,XNA,0.5061548086628039,0.60043294901342,0.7958031328748403,0.0247,0.0612,0.9757,0.7552,0.0213,0.0,0.1034,0.0833,0.2083,0.027,0.0756,0.0304,0.0,0.0131,0.0252,0.0635,0.9757,0.7648,0.0192,0.0,0.1034,0.0833,0.2083,0.0276,0.0771,0.0317,0.0,0.0139,0.025,0.0612,0.9757,0.7585,0.021,0.0,0.1034,0.0833,0.2083,0.0275,0.077,0.0309,0.0,0.0134,reg oper account,block of flats,0.0267,"Stone, brick",No,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,4,4,2,entre 65-99 ans,credit non remboursé
157,157,100185,0.0,Cash loans,M,N,Y,0,58500.0,187704.0,10903.5,148500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018029,9.0,1,0,0,1,0,0,Laborers,2.0,3,2,SATURDAY,7,0,0,0,0,0,0,XNA,0.5061548086628039,0.557347622511613,0.7713615919194317,0.0619,0.0473,0.9771,0.6872,0.0228,0.0,0.1379,0.1667,0.2083,0.0335,0.0504,0.0544,0.0,0.0,0.063,0.0491,0.9772,0.6994,0.023,0.0,0.1379,0.1667,0.2083,0.0343,0.0551,0.0567,0.0,0.0,0.0625,0.0473,0.9771,0.6914,0.023,0.0,0.1379,0.1667,0.2083,0.0341,0.0513,0.0554,0.0,0.0,reg oper account,block of flats,0.0553,Panel,No,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,4,3,4,4,3,entre 50-65 ans,credit non remboursé
158,158,100186,0.0,Cash loans,F,N,Y,0,117000.0,269550.0,13095.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.00702,9.0,1,0,0,1,1,0,Laborers,1.0,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,0.5061548086628039,0.6413041903506802,0.5190973382084597,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,4.0,0.0,4.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,4,3,entre 50-65 ans,credit non remboursé
159,159,100188,0.0,Cash loans,F,N,N,1,225000.0,1325475.0,56290.5,1125000.0,Unaccompanied,Working,Higher education,Married,Office apartment,0.002506,9.0,1,1,0,1,0,0,Core staff,3.0,2,2,FRIDAY,4,0,0,0,0,1,1,School,0.7280918134588762,0.7024628947445616,0.5460231970049609,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,3,4,4,4,1,entre 40-50 ans,credit non remboursé
160,160,100189,0.0,Cash loans,F,N,Y,0,135000.0,263844.0,14440.5,189000.0,Unaccompanied,Working,Incomplete higher,Separated,House / apartment,0.020713,9.0,1,1,0,1,1,0,Sales staff,1.0,3,2,THURSDAY,6,0,0,0,0,1,1,Trade: type 7,0.5061548086628039,0.0102716488262289,0.5334816299804352,0.0082,0.0,0.9727,0.626,0.0007,0.0,0.0345,0.0417,0.0833,0.0115,0.0067,0.0054,0.0,0.0,0.0084,0.0,0.9727,0.6406,0.0008,0.0,0.0345,0.0417,0.0833,0.0117,0.0073,0.0056,0.0,0.0,0.0083,0.0,0.9727,0.631,0.0007,0.0,0.0345,0.0417,0.0833,0.0117,0.0068,0.0055,0.0,0.0,reg oper account,block of flats,0.0046,Block,No,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,5,1,1,entre 40-50 ans,credit non remboursé
161,161,100190,0.0,Cash loans,M,Y,N,0,162000.0,263686.5,24781.5,238500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.022625,3.0,1,1,0,1,1,0,Laborers,2.0,2,2,THURSDAY,16,0,0,0,0,0,0,Government,0.5349985744410304,0.5858586300023704,0.7886807751817684,0.3093,0.1973,0.9891,0.8504,0.0,0.4,0.2414,0.4583,0.5,0.4101,0.2522,0.3564,0.0,0.0168,0.3151,0.2047,0.9891,0.8563,0.0,0.4028,0.2414,0.4583,0.5,0.4195,0.2755,0.3713,0.0,0.0178,0.3123,0.1973,0.9891,0.8524,0.0,0.4,0.2414,0.4583,0.5,0.4173,0.2565,0.3628,0.0,0.0172,reg oper account,block of flats,0.4064,Panel,No,5.0,0.0,5.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,2,4,1,4,2,entre 27-40 ans,credit non remboursé
162,162,100191,0.0,Cash loans,F,N,Y,0,112500.0,544491.0,17563.5,454500.0,Unaccompanied,Working,Higher education,Separated,House / apartment,0.030755,9.0,1,1,0,1,0,0,High skill tech staff,1.0,2,2,TUESDAY,18,0,0,0,0,0,0,Business Entity Type 2,0.5061548086628039,0.6887921778530354,0.5226973172821112,0.0412,0.0619,0.9762,0.6668,0.0535,0.0,0.069,0.1667,0.2083,0.031,0.0336,0.0372,0.0,0.0,0.042,0.0642,0.9762,0.6798,0.054,0.0,0.069,0.1667,0.2083,0.0317,0.0367,0.0387,0.0,0.0,0.0416,0.0619,0.9762,0.6713,0.0538,0.0,0.069,0.1667,0.2083,0.0315,0.0342,0.0378,0.0,0.0,reg oper spec account,block of flats,0.0377,"Stone, brick",No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4,5,5,4,4,entre 50-65 ans,credit non remboursé
163,163,100192,1.0,Cash loans,F,N,N,0,111915.0,225000.0,21037.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.018801,9.0,1,1,1,1,0,0,Core staff,1.0,2,2,FRIDAY,16,0,0,0,0,1,1,Trade: type 3,0.5061548086628039,0.0862529149111319,0.5136937663039473,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,1,moins de 27 ans,credit remboursé
164,164,100193,0.0,Cash loans,F,Y,N,0,225000.0,296280.0,15124.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.020246,15.0,1,1,1,1,0,0,Laborers,1.0,3,3,SUNDAY,15,0,0,0,0,0,0,Other,0.7311052466018223,0.7488544429116339,0.5082869913916046,0.1546,0.084,0.9776,0.6940000000000001,0.019,0.0,0.1034,0.1667,0.2083,0.0149,0.1261,0.0568,0.0,0.0,0.1576,0.0871,0.9777,0.706,0.0191,0.0,0.1034,0.1667,0.2083,0.0153,0.1377,0.0591,0.0,0.0,0.1561,0.084,0.9776,0.6981,0.0191,0.0,0.1034,0.1667,0.2083,0.0152,0.1283,0.0578,0.0,0.0,reg oper account,block of flats,0.055,"Stone, brick",No,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,6.0,3,2,3,2,4,entre 40-50 ans,credit non remboursé
165,165,100194,0.0,Revolving loans,F,N,Y,2,157500.0,315000.0,15750.0,315000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.020246,9.0,1,1,0,1,1,0,Laborers,4.0,3,3,WEDNESDAY,11,0,0,0,0,0,0,Industry: type 3,0.4348784763127847,0.1117667170159572,0.1929422277169508,0.0784,0.0806,0.9742,0.6464,0.008,0.0,0.1379,0.1667,0.2083,0.0438,0.0614,0.0592,0.0116,0.0124,0.0798,0.0837,0.9742,0.6602,0.0081,0.0,0.1379,0.1667,0.2083,0.0448,0.067,0.0617,0.0117,0.0131,0.0791,0.0806,0.9742,0.6511,0.0081,0.0,0.1379,0.1667,0.2083,0.0446,0.0624,0.0603,0.0116,0.0127,reg oper account,block of flats,0.0536,"Stone, brick",No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,2,4,4,4,1,entre 27-40 ans,credit non remboursé
166,166,100195,0.0,Cash loans,M,Y,Y,0,90000.0,336150.0,9373.5,202500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.030755,8.0,1,1,0,1,0,0,Laborers,1.0,2,2,FRIDAY,12,0,0,0,0,1,1,Trade: type 3,0.3563551035088492,0.5477730476270279,0.7490217048463391,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2,1,4,3,1,entre 27-40 ans,credit non remboursé
167,167,100196,0.0,Cash loans,F,Y,Y,0,164250.0,755190.0,32125.5,675000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.018029,8.0,1,1,0,1,0,0,Secretaries,2.0,3,3,TUESDAY,7,0,0,0,0,0,0,Construction,0.5925473429253104,0.593340422792271,0.3031463744186309,0.088,0.0765,0.9811,0.7552,0.0213,0.0,0.1552,0.25,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9786,0.7648,0.0192,0.0,0.1034,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9811,0.7585,0.021,0.0,0.1552,0.25,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.0713,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,2,3,2,2,3,entre 27-40 ans,credit non remboursé
168,168,100197,0.0,Cash loans,F,N,N,2,157500.0,497520.0,28692.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003813,9.0,1,1,0,1,0,0,Sales staff,4.0,2,2,MONDAY,11,0,0,0,0,0,0,Self-employed,0.7217605119102734,0.4722858229404335,0.5334816299804352,0.0763,0.041,0.9796,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0558,0.0,0.0242,0.0777,0.0425,0.9796,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0581,0.0,0.0256,0.077,0.041,0.9796,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0568,0.0,0.0247,reg oper account,block of flats,0.0491,"Stone, brick",No,3.0,0.0,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,1,3,4,entre 27-40 ans,credit non remboursé
169,169,100198,0.0,Cash loans,M,Y,Y,1,135000.0,531000.0,32616.0,531000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,1.0,1,1,0,1,0,0,Drivers,3.0,2,2,MONDAY,10,0,0,0,0,0,0,Self-employed,0.5061548086628039,0.7489161279000881,0.6397075677637197,0.0722,0.002,0.9781,0.7008,0.0078,0.0,0.1379,0.1667,0.0,0.0701,0.0588,0.0677,0.0,0.0016,0.0735,0.002,0.9782,0.7125,0.0079,0.0,0.1379,0.1667,0.0,0.0717,0.0643,0.0706,0.0,0.0017,0.0729,0.002,0.9781,0.7048,0.0079,0.0,0.1379,0.1667,0.0,0.0713,0.0599,0.0689,0.0,0.0016,reg oper account,block of flats,0.0579,"Stone, brick",No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2,3,5,4,1,entre 27-40 ans,credit non remboursé
170,170,100199,0.0,Cash loans,F,N,Y,0,112500.0,269550.0,18891.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,9.0,1,1,0,1,0,0,Cleaning staff,2.0,2,2,WEDNESDAY,15,0,0,0,0,1,1,Industry: type 3,0.5061548086628039,0.7044244680571375,0.2764406945454034,0.0825,0.0756,0.9896,0.8572,0.014,0.0,0.0345,0.1667,0.2083,0.0131,0.0672,0.049,0.0,0.0,0.084,0.0785,0.9896,0.8628,0.0141,0.0,0.0345,0.1667,0.2083,0.0134,0.0735,0.0511,0.0,0.0,0.0833,0.0756,0.9896,0.8591,0.0141,0.0,0.0345,0.1667,0.2083,0.0134,0.0684,0.0499,0.0,0.0,reg oper account,block of flats,0.0462,"Stone, brick",No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,5,4,2,entre 50-65 ans,credit non remboursé
171,171,100200,0.0,Cash loans,F,N,N,0,216000.0,450000.0,27193.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.026392,9.0,1,1,1,1,1,0,Laborers,1.0,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.5061548086628039,0.640040616163284,0.6940926425266661,0.1959,0.1741,0.9841,0.7552,0.0213,0.0,0.4483,0.1667,0.2083,0.0482,0.0756,0.1762,0.0,0.0036,0.1996,0.1807,0.9841,0.7648,0.0192,0.0,0.4483,0.1667,0.2083,0.0459,0.0771,0.1835,0.0,0.0011,0.1978,0.1741,0.9841,0.7585,0.021,0.0,0.4483,0.1667,0.2083,0.0487,0.077,0.1793,0.0,0.0031,reg oper account,block of flats,0.1795,Panel,No,4.0,0.0,3.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,3,3,5,1,1,entre 40-50 ans,credit non remboursé
172,172,100201,0.0,Cash loans,F,N,Y,1,180000.0,675000.0,36747.0,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.035792,9.0,1,1,0,1,0,0,Core staff,2.0,2,2,SATURDAY,10,0,0,0,0,0,0,Trade: type 2,0.7649171875783758,0.6015603738443187,0.3506958432829587,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,10.0,0.0,10.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,6.0,2,3,5,3,3,entre 27-40 ans,credit non remboursé
173,173,100202,0.0,Cash loans,F,N,N,0,67500.0,127350.0,6597.0,112500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.019101,9.0,1,0,0,1,0,0,Laborers,1.0,2,2,TUESDAY,12,0,0,0,0,0,0,XNA,0.5061548086628039,0.1219059405425988,0.2692857999073816,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,2.0,0.0,2.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0,4,3,5,4,1,entre 50-65 ans,credit non remboursé
174,174,100203,0.0,Cash loans,F,N,N,0,54000.0,119925.0,11097.0,112500.0,Other_B,Pensioner,Secondary / secondary special,Widow,House / apartment,0.010276,9.0,1,0,0,1,0,0,Laborers,1.0,2,2,TUESDAY,9,0,0,0,0,0,0,XNA,0.5061548086628039,0.6405140556837132,0.5442347412142162,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.0,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.0,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.0,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.0026,Wooden,No,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,4,4,1,entre 65-99 ans,credit non remboursé
175,175,100204,0.0,Cash loans,F,N,Y,1,81000.0,532494.0,30699.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009334,9.0,1,0,0,1,1,0,Laborers,3.0,2,2,WEDNESDAY,9,0,0,0,0,0,0,XNA,0.5061548086628039,0.1715351212035425,0.5406544504453575,0.088,0.0765,0.9816,0.7552,0.0213,0.0,0.1379,0.1667,0.2083,0.0482,0.0756,0.0749,0.0,0.0036,0.084,0.0749,0.9816,0.7648,0.0192,0.0,0.1379,0.1667,0.2083,0.0459,0.0771,0.0733,0.0,0.0011,0.0874,0.0761,0.9816,0.7585,0.021,0.0,0.1379,0.1667,0.2083,0.0487,0.077,0.0754,0.0,0.0031,reg oper account,block of flats,0.069,Panel,No,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,4,3,4,3,1,entre 50-65 ans,credit non remboursé
